"","surgery","release_speed","arm_angle","spin_axis","release_spin_rate","pitch_type","release_pos_z"
"32401","0",93.5,31.1,206,2165,3,5.38
"32402","0",81.5,21.9,66,2433,7,5.31
"32403","0",95.7,14.9,225,2297,3,5.13
"32404","0",97.7,40.5,141,2456,3,5.11
"32405","0",95.7,38.6,211,2308,6,5.75
"32406","0",88.3,57.2,175,2397,3,6.26
"32407","0",88.1,45.2,138,1978,6,6.21
"32408","0",91,47.9,220,2048,6,6.4
"32409","0",85.1,51.8,46,3145,7,5.89
"32410","0",96.4,48.2,207,2288,3,5.92
"32411","0",91.7,68.4,195,2114,3,6.04
"32412","0",95.9,37,230,1921,6,5.71
"32413","0",98.6,34.1,235,1799,3,5.95
"32414","0",86.5,51.2,63,2432,7,6.13
"32415","0",92.6,56.1,175,2240,3,6.4
"32416","0",94.4,39.9,211,2343,6,5.55
"32417","0",99.3,54.7,211,2565,3,6.36
"32418","0",84.8,18.6,60,2797,7,5.02
"32419","0",89.4,39.1,172,2179,7,5.65
"32420","0",79,52.1,294,2270,7,5.88
"32421","0",79.2,25.3,72,2763,8,5.2
"32422","0",93.7,48.1,211,2436,3,6.13
"32423","0",86.8,21.1,111,1575,1,5.23
"32424","0",82.7,56.3,60,1946,7,6.38
"32425","0",94.5,48.3,202,2155,3,7.01
"32426","0",98.3,54.2,189,2505,3,6.84
"32427","0",94.9,44,211,1987,3,6.12
"32428","0",91.3,41.2,238,2254,3,6.11
"32429","0",90.2,47.5,156,2073,3,5.75
"32430","0",83.9,33.5,82,2600,8,5.97
"32431","0",91.1,43.8,149,2398,3,5.92
"32432","0",75,41.1,37,2375,2,6.13
"32433","0",88.8,39.1,242,1714,1,5.82
"32434","0",94.2,50.2,154,2383,3,6.42
"32435","0",86,30.1,41,2502,8,5.51
"32436","0",88.3,9.1,247,2107,6,4.88
"32437","0",94.2,39.9,209,2248,3,5.62
"32438","0",75,33.4,44,3289,2,5.35
"32439","0",83.7,30,107,2067,1,5.12
"32440","0",86.9,18,95,2791,7,4.82
"32441","0",86.5,41.7,168,1521,7,5.86
"32442","0",80.5,11.3,85,1806,1,4.65
"32443","0",97,50,196,2251,3,5.94
"32444","0",93.9,31.2,211,2230,3,5.42
"32445","0",91.2,30.7,222,2199,3,5.49
"32446","0",79.4,17.1,304,2705,7,5.48
"32447","0",84,21.3,51,2693,8,5.04
"32448","0",89.1,29.8,239,1994,1,5.69
"32449","0",86,31,32,2887,8,5.46
"32450","0",89.2,40.8,235,2007,1,5.67
"32451","0",94.1,45.4,218,1899,3,5.6
"32452","0",100.5,36.7,214,2191,6,5.71
"32453","0",81.5,52.6,238,1468,1,6.73
"32454","0",94.2,24.6,226,2219,6,5.4
"32455","0",86.6,51.6,46,3145,8,5.51
"32456","0",94.7,22.1,121,2187,6,5.24
"32457","0",90,47.2,144,2504,3,6.11
"32458","0",95.8,38,222,2206,3,6.03
"32459","0",81.7,48.6,258,2527,1,6.25
"32460","0",84.2,53.4,211,1975,7,6.02
"32461","0",93.6,45.7,188,2330,6,5.79
"32462","0",96.4,35.6,219,2085,3,5.18
"32463","0",82.8,59.9,12,2392,2,6.41
"32464","0",94,32.4,227,2347,3,5.84
"32465","0",91.1,48.5,153,2113,3,6.08
"32466","0",97.2,26.4,225,2176,6,5.45
"32467","0",82.7,34,62,2500,7,5.45
"32468","0",79,30.6,81,2033,8,5.01
"32469","0",85.4,48.3,49,2202,7,5.47
"32470","0",94.3,16.6,235,2084,6,5.34
"32471","0",86,37.3,241,2269,1,5.55
"32472","0",86.3,45.1,83,2556,7,6.08
